Nom;Prenom;Age;Date;Classe;Nationalite;Password;Internet;Statut
Waters;Olivia;15;2004;3TQg;32;WAQG-2021;non;Eleve
Grandpre;Frederique;14;2005;3TQg;33;GEQG-2024;oui;Eleve
Bonami;Eleanor;15;2004;3TQg;352;BRQG-2341;non;Prof
Dostie;Maureen;16;2003;4TTi;32;DNTI-2019;oui;Eleve
Brisette;Stephanie;18;2001;4TTi;32;BETI-2015;oui;Prof
Majory;Genevre;17;2002;4TTi;33;METI-2018;oui;Prof
Beland;Bertrand;14;2005;3PT;32;BDPT-2023;oui;Eleve
Cousteau;Denise;15;2004;3PT;33;CEPT-2022;oui;Prof
Cyr;Nadine;15;2004;3PT;33;CEPT-2022;non;Eleve
Mailly;Luce;19;2000;6TQi;32;MEQI-2013;non;Prof
Charest;Angelette;19;2000;6TQi;32;CEQI-2013;oui;Prof
Mercier;Cosette;21;1998;6TQi;352;MEQI-2329;non;Prof
Lanoie;Valerie;18;2001;5TQI;32;LEQI-2015;oui;Prof
Garreau;Olivier;17;2002;5TQI;33;GRQI-2018;oui;Eleve
Pierre;Maurice;41;1978;3TQg;32;PEQG-1969;oui;Prof
Stevens;Davis;55;1964;4TTi;33;SSTI-1942;non;Eleve
Carlier;Matteo;37;1982;3PT;352;COPT-2297;oui;Prof
Mertens;Alexia;49;1970;6TQi;32;MAQI-1953;non;Eleve
Roland;Tristan;61;1958;5TQi;32;RNQI-1929;non;Eleve
